"","time","max_t","min_t","rain"
"1",1940.75,NA,NA,NA
"2",1940.83333333333,49.1,35.9,4.53
"3",1940.91666666667,48.5,36,4.85
"4",1941,47.4,35.2,5.27
"5",1941.08333333333,55.1,37.1,1.59
"6",1941.16666666667,63.5,40.6,1.74
"7",1941.25,65.8,43.1,1.66
"8",1941.33333333333,67.1,48.1,4.27
"9",1941.41666666667,71.6,52.6,0.81
"10",1941.5,84.5,58.3,0.03
"11",1941.58333333333,77.6,58,1.45
"12",1941.66666666667,68.8,52,3.58
"13",1941.75,62.5,46.8,2.18
"14",1941.83333333333,54.8,41.3,5.04
"15",1941.91666666667,47.7,38.1,9.11
"16",1942,39.8,30.9,3.63
"17",1942.08333333333,49.2,36.3,3.64
"18",1942.16666666667,55.6,37.1,1.63
"19",1942.25,62.1,43.5,2.38
"20",1942.33333333333,65.1,47.8,2.84
"21",1942.41666666667,70.4,51.6,1.94
"22",1942.5,80.2,58.6,1.4
"23",1942.58333333333,80.5,57.6,0.17
"24",1942.66666666667,76.3,50.3,0.06
"25",1942.75,65.5,45.8,3.49
"26",1942.83333333333,50.4,39.4,11.57
"27",1942.91666666667,47.7,38.3,9.37
"28",1943,40,26.5,5.5
"29",1943.08333333333,52.6,34.3,3.27
"30",1943.16666666667,53.5,37.5,5.54
"31",1943.25,64.1,44.5,2.21
"32",1943.33333333333,65.2,46,1.42
"33",1943.41666666667,69.6,51,2.8
"34",1943.5,78.9,55.5,0.32
"35",1943.58333333333,78,55.7,1.39
"36",1943.66666666667,79.5,52,0.06
"37",1943.75,62.5,47.2,5.59
"38",1943.83333333333,53.5,38.7,2.2
"39",1943.91666666667,46.3,33.6,2.7
"40",1944,45.5,32.8,2.81
"41",1944.08333333333,49,35.4,3.11
"42",1944.16666666667,54.7,36,1.93
"43",1944.25,59.9,41.8,2.28
"44",1944.33333333333,68.4,46.6,1.07
"45",1944.41666666667,71.8,51.6,0.81
"46",1944.5,80.2,55.6,0.06
"47",1944.58333333333,78,55.6,0.03
"48",1944.66666666667,77.8,52.5,2.73
"49",1944.75,67.9,49.1,1.64
"50",1944.83333333333,51.6,38.9,5
"51",1944.91666666667,44.8,33.9,1.9
"52",1945,48.5,36.3,4.1
"53",1945.08333333333,50.8,38,4.36
"54",1945.16666666667,52,38.4,5.3
"55",1945.25,58.7,42.1,2.42
"56",1945.33333333333,68.4,49.2,4.57
"57",1945.41666666667,73,50.6,0.07
"58",1945.5,82,56,0.51
"59",1945.58333333333,80.4,55.4,0.37
"60",1945.66666666667,72.1,49.5,3.96
"61",1945.75,64.1,44.2,2.11
"62",1945.83333333333,50.3,40.1,8.58
"63",1945.91666666667,44.9,34.7,5.61
"64",1946,46.7,35.1,5.12
"65",1946.08333333333,49.4,36,4.99
"66",1946.16666666667,54.4,38.7,4.23
"67",1946.25,61.5,41.4,0.78
"68",1946.33333333333,70.6,48.8,1.24
"69",1946.41666666667,70.6,51.8,1.91
"70",1946.5,79.1,56.2,1.08
"71",1946.58333333333,80,55.5,0.18
"72",1946.66666666667,72.5,51.5,1.15
"73",1946.75,58.8,42.5,4.81
"74",1946.83333333333,51,35.3,7.65
"75",1946.91666666667,47.2,36.5,5.47
"76",1947,43.4,31,3.72
"77",1947.08333333333,53.8,36.6,2.77
"78",1947.16666666667,59.8,39.7,4.11
"79",1947.25,64.6,43.2,1.81
"80",1947.33333333333,73.3,49.3,0.66
"81",1947.41666666667,71.1,52.9,2.93
"82",1947.5,77.2,56.4,0.94
"83",1947.58333333333,76.9,54.8,0.29
"84",1947.66666666667,75.6,51.7,1.06
"85",1947.75,61.8,48.9,8.04
"86",1947.83333333333,52.6,41.4,4.08
"87",1947.91666666667,48.3,37.5,4.64
"88",1948,45.7,33.3,5.87
"89",1948.08333333333,47.5,34.1,5
"90",1948.16666666667,52.4,37.2,4.24
"91",1948.25,56.5,41.3,3.41
"92",1948.33333333333,65,47.1,3.76
"93",1948.41666666667,75.9,57.1,1.42
"94",1948.5,76.6,56.9,0.32
"95",1948.58333333333,74.1,57,1.55
"96",1948.66666666667,72.9,50.8,3.28
"97",1948.75,62.3,44.7,2.39
"98",1948.83333333333,49.5,37.9,6.89
"99",1948.91666666667,42.8,33.3,8.06
"100",1949,34.6,21,1.02
"101",1949.08333333333,45.2,33,9.46
"102",1949.16666666667,53,38.3,2.78
"103",1949.25,63,41.8,0.72
"104",1949.33333333333,69.8,48.5,2.12
"105",1949.41666666667,72.9,50.5,0.68
"106",1949.5,77.1,54.6,0.91
"107",1949.58333333333,77.4,55.5,0.24
"108",1949.66666666667,75,51.3,1.66
"109",1949.75,57.6,39.5,2.35
"110",1949.83333333333,58.4,41.3,5.56
"111",1949.91666666667,46.3,36.5,4.86
"112",1950,32.8,21.2,10.1
"113",1950.08333333333,45.5,32.1,5.77
"114",1950.16666666667,51.5,38.6,4.76
"115",1950.25,57.9,39.2,2.74
"116",1950.33333333333,65.8,43.2,0.57
"117",1950.41666666667,71.3,52.2,2.5
"118",1950.5,79,54.7,0.5
"119",1950.58333333333,81.8,55.7,0.72
"120",1950.66666666667,74.4,49.2,1.45
"121",1950.75,58.7,46.1,7
"122",1950.83333333333,51.6,41.2,8.67
"123",1950.91666666667,51.4,41.4,6.31
"124",1951,44.5,35,7.71
"125",1951.08333333333,49.7,36,5.02
"126",1951.16666666667,49.4,34.5,3.86
"127",1951.25,66,40.9,1.14
"128",1951.33333333333,67,46.5,1.75
"129",1951.41666666667,77.1,51.9,0.03
"130",1951.5,78.4,55.7,0.28
"131",1951.58333333333,77.9,53.4,0.02
"132",1951.66666666667,76,50.2,2.55
"133",1951.75,61.6,45.7,6.81
"134",1951.83333333333,51.2,40.2,5.31
"135",1951.91666666667,42.6,32.4,5.06
"136",1952,40.4,30.8,4.4
"137",1952.08333333333,48.4,35,3.59
"138",1952.16666666667,52.4,38.3,3.82
"139",1952.25,64.4,40.4,1.45
"140",1952.33333333333,68.5,46.5,0.78
"141",1952.41666666667,69.4,51.1,2.23
"142",1952.5,80.9,55,0
"143",1952.58333333333,79.6,56.1,0.18
"144",1952.66666666667,79,50.6,0.33
"145",1952.75,71.8,45.5,0.72
"146",1952.83333333333,49.5,31.8,1.44
"147",1952.91666666667,46.8,36.4,6.76
"148",1953,52,42.6,12.83
"149",1953.08333333333,51.3,36.3,3.71
"150",1953.16666666667,53.5,38.1,3.82
"151",1953.25,58.8,40.9,1.89
"152",1953.33333333333,63.3,45.5,3.45
"153",1953.41666666667,66.4,50.8,2.04
"154",1953.5,78,54.4,0.03
"155",1953.58333333333,76.1,55,1.79
"156",1953.66666666667,74.6,50.3,1.16
"157",1953.75,64.4,44.2,3.56
"158",1953.83333333333,55,42.2,6.46
"159",1953.91666666667,49.1,38.3,7.85
"160",1954,44.2,33.8,8.95
"161",1954.08333333333,49.8,35.3,4.57
"162",1954.16666666667,54.1,33.6,2.55
"163",1954.25,59.3,39.8,2.54
"164",1954.33333333333,67.4,46,1.83
"165",1954.41666666667,66.2,49.7,3.58
"166",1954.5,72.6,53.5,1.24
"167",1954.58333333333,71.6,55,1.92
"168",1954.66666666667,69.9,50.4,0.85
"169",1954.75,63,43.1,3.4
"170",1954.83333333333,55.8,43.5,5.09
"171",1954.91666666667,46,35.7,5.01
"172",1955,44.8,34.6,2.3
"173",1955.08333333333,47.3,33.5,3.37
"174",1955.16666666667,49.2,33.8,3.06
"175",1955.25,55,37.9,4.72
"176",1955.33333333333,63,42.8,1.24
"177",1955.41666666667,70.7,50.7,1.83
